k (SNPs),LR AUC,SB-LRT AUC,Raisaro AUC
5,0.5,0.498,0.502
10,0.504,0.4941,0.5059
20,0.5138,0.4822,0.5178
50,0.5226,0.5006,0.4995
60,0.5035,0.5029,0.4968
70,0.5054,0.5039,0.4944
80,0.4925,0.4995,0.4924
90,0.4892,0.5006,0.4917
100,0.4971,0.494,0.4934
110,0.4543,0.4859,0.5
200,0.3846,0.4564,0.492
